epoch:0Iteration:0      	Cost:0.29733
Iteration:1      	Cost:0.28013
Iteration:2      	Cost:0.28055
Iteration:3      	Cost:0.26975
Iteration:4      	Cost:0.26239
Iteration:5      	Cost:0.26935
Iteration:6      	Cost:0.25580
Iteration:7      	Cost:0.24227
Iteration:8      	Cost:0.23950
Iteration:9      	Cost:0.23467
Iteration:10     	Cost:0.23915
Iteration:11     	Cost:0.22369
Iteration:12     	Cost:0.22428
Iteration:13     	Cost:0.21421
Iteration:14     	Cost:0.21364
Iteration:15     	Cost:0.19627
Iteration:16     	Cost:0.19921
Iteration:17     	Cost:0.20379
Iteration:18     	Cost:0.20482
Iteration:19     	Cost:0.22047
Iteration:20     	Cost:0.18860
Iteration:21     	Cost:0.18524
Iteration:22     	Cost:0.19168
Iteration:23     	Cost:0.19951
Iteration:24     	Cost:0.18825
Iteration:25     	Cost:0.17945
Iteration:26     	Cost:0.17664
Iteration:27     	Cost:0.17768
Iteration:28     	Cost:0.16981
Iteration:29     	Cost:0.16713
Iteration:30     	Cost:0.16643
Iteration:31     	Cost:0.15627
Iteration:32     	Cost:0.16506
Iteration:33     	Cost:0.15751
Iteration:34     	Cost:0.14695
Iteration:35     	Cost:0.16461
Iteration:36     	Cost:0.15445
Iteration:37     	Cost:0.15117
Iteration:38     	Cost:0.14634
Iteration:39     	Cost:0.16017
Iteration:40     	Cost:0.16303
Iteration:41     	Cost:0.15808
Iteration:42     	Cost:0.14028
Iteration:43     	Cost:0.14959
Iteration:44     	Cost:0.14415
Iteration:45     	Cost:0.13173
Iteration:46     	Cost:0.13862
Iteration:47     	Cost:0.14102
Iteration:48     	Cost:0.13358
Iteration:49     	Cost:0.13447
Iteration:50     	Cost:0.14166
Iteration:51     	Cost:0.14401
Iteration:52     	Cost:0.14073
Iteration:53     	Cost:0.14038
Iteration:54     	Cost:0.13125
Iteration:55     	Cost:0.15143
Iteration:56     	Cost:0.13255
Iteration:57     	Cost:0.14804
Iteration:58     	Cost:0.12540
Iteration:59     	Cost:0.12494
Iteration:60     	Cost:0.13877
Iteration:61     	Cost:0.11874
Iteration:62     	Cost:0.12824
Iteration:63     	Cost:0.12707
Iteration:64     	Cost:0.12733
Iteration:65     	Cost:0.10552
Iteration:66     	Cost:0.13547
Iteration:67     	Cost:0.13168
Iteration:68     	Cost:0.12811
Iteration:69     	Cost:0.10757
Iteration:70     	Cost:0.11904
Iteration:71     	Cost:0.14527
Iteration:72     	Cost:0.10708
Iteration:73     	Cost:0.12104
Iteration:74     	Cost:0.11615
Iteration:75     	Cost:0.11287
Iteration:76     	Cost:0.12421
Iteration:77     	Cost:0.12522
Iteration:78     	Cost:0.12427
Iteration:79     	Cost:0.10941
Iteration:80     	Cost:0.10612
Iteration:81     	Cost:0.10922
Iteration:82     	Cost:0.09633
Iteration:83     	Cost:0.13531
Iteration:84     	Cost:0.10468
Iteration:85     	Cost:0.10042
Iteration:86     	Cost:0.11618
Iteration:87     	Cost:0.11882
Iteration:88     	Cost:0.12359
Iteration:89     	Cost:0.11720
Iteration:90     	Cost:0.11802
Iteration:91     	Cost:0.10690
Iteration:92     	Cost:0.10840
Iteration:93     	Cost:0.11965
Iteration:94     	Cost:0.10214
Iteration:95     	Cost:0.10136
Iteration:96     	Cost:0.11638
Iteration:97     	Cost:0.10558
Iteration:98     	Cost:0.11213
Iteration:99     	Cost:0.11451
Iteration:100    	Cost:0.11112
Iteration:101    	Cost:0.09159
Iteration:102    	Cost:0.11199
Iteration:103    	Cost:0.10850
Iteration:104    	Cost:0.09353
Iteration:105    	Cost:0.12146
epoch:1Iteration:0      	Cost:0.10003
Iteration:1      	Cost:0.09413
Iteration:2      	Cost:0.10472
Iteration:3      	Cost:0.08967
Iteration:4      	Cost:0.09223
Iteration:5      	Cost:0.09899
Iteration:6      	Cost:0.09879
Iteration:7      	Cost:0.10029
Iteration:8      	Cost:0.07716
Iteration:9      	Cost:0.10859
Iteration:10     	Cost:0.09713
Iteration:11     	Cost:0.09111
Iteration:12     	Cost:0.09974
Iteration:13     	Cost:0.10438
Iteration:14     	Cost:0.10208
Iteration:15     	Cost:0.09690
Iteration:16     	Cost:0.10687
Iteration:17     	Cost:0.11468
Iteration:18     	Cost:0.09417
Iteration:19     	Cost:0.10664
Iteration:20     	Cost:0.08490
Iteration:21     	Cost:0.09148
Iteration:22     	Cost:0.09533
Iteration:23     	Cost:0.10683
Iteration:24     	Cost:0.09651
Iteration:25     	Cost:0.09815
Iteration:26     	Cost:0.09504
Iteration:27     	Cost:0.08887
Iteration:28     	Cost:0.08640
Iteration:29     	Cost:0.09521
Iteration:30     	Cost:0.08413
Iteration:31     	Cost:0.08325
Iteration:32     	Cost:0.08221
Iteration:33     	Cost:0.09110
Iteration:34     	Cost:0.09355
Iteration:35     	Cost:0.09397
Iteration:36     	Cost:0.08589
Iteration:37     	Cost:0.08335
Iteration:38     	Cost:0.08315
Iteration:39     	Cost:0.09673
Iteration:40     	Cost:0.09623
Iteration:41     	Cost:0.09025
Iteration:42     	Cost:0.08414
Iteration:43     	Cost:0.08260
Iteration:44     	Cost:0.07779
Iteration:45     	Cost:0.08196
Iteration:46     	Cost:0.08819
Iteration:47     	Cost:0.09948
Iteration:48     	Cost:0.09209
Iteration:49     	Cost:0.08905
Iteration:50     	Cost:0.09404
Iteration:51     	Cost:0.07550
Iteration:52     	Cost:0.09396
Iteration:53     	Cost:0.08013
Iteration:54     	Cost:0.07845
Iteration:55     	Cost:0.10392
Iteration:56     	Cost:0.08382
Iteration:57     	Cost:0.08996
Iteration:58     	Cost:0.07856
Iteration:59     	Cost:0.08365
Iteration:60     	Cost:0.09847
Iteration:61     	Cost:0.07316
Iteration:62     	Cost:0.08093
Iteration:63     	Cost:0.08936
Iteration:64     	Cost:0.07896
Iteration:65     	Cost:0.07136
Iteration:66     	Cost:0.09690
Iteration:67     	Cost:0.08645
Iteration:68     	Cost:0.08218
Iteration:69     	Cost:0.06593
Iteration:70     	Cost:0.07844
Iteration:71     	Cost:0.08958
Iteration:72     	Cost:0.07347
Iteration:73     	Cost:0.07612
Iteration:74     	Cost:0.08843
Iteration:75     	Cost:0.07359
Iteration:76     	Cost:0.08095
Iteration:77     	Cost:0.09564
Iteration:78     	Cost:0.08070
Iteration:79     	Cost:0.07026
Iteration:80     	Cost:0.07170
Iteration:81     	Cost:0.07506
Iteration:82     	Cost:0.06329
Iteration:83     	Cost:0.08903
Iteration:84     	Cost:0.07735
Iteration:85     	Cost:0.07283
Iteration:86     	Cost:0.07421
Iteration:87     	Cost:0.08109
Iteration:88     	Cost:0.09604
Iteration:89     	Cost:0.07601
Iteration:90     	Cost:0.08211
Iteration:91     	Cost:0.07652
Iteration:92     	Cost:0.07095
Iteration:93     	Cost:0.08364
Iteration:94     	Cost:0.06505
