epoch:0Iteration:0      	Cost:0.00587
Iteration:1      	Cost:0.00370
Iteration:2      	Cost:0.00619
Iteration:3      	Cost:0.00364
Iteration:4      	Cost:0.00509
Iteration:5      	Cost:0.00401
Iteration:6      	Cost:0.00434
Iteration:7      	Cost:0.00460
Iteration:8      	Cost:0.00559
Iteration:9      	Cost:0.00501
Iteration:10     	Cost:0.00683
Iteration:11     	Cost:0.00461
Iteration:12     	Cost:0.00398
Iteration:13     	Cost:0.00354
Iteration:14     	Cost:0.00402
Iteration:15     	Cost:0.00388
Iteration:16     	Cost:0.00538
Iteration:17     	Cost:0.00588
Iteration:18     	Cost:0.00341
Iteration:19     	Cost:0.00569
Iteration:20     	Cost:0.00395
Iteration:21     	Cost:0.00293
Iteration:22     	Cost:0.00445
Iteration:23     	Cost:0.00320
Iteration:24     	Cost:0.00503
Iteration:25     	Cost:0.00528
Iteration:26     	Cost:0.00361
Iteration:27     	Cost:0.00327
Iteration:28     	Cost:0.00523
Iteration:29     	Cost:0.00410
Iteration:30     	Cost:0.00317
Iteration:31     	Cost:0.00409
Iteration:32     	Cost:0.00376
Iteration:33     	Cost:0.00330
Iteration:34     	Cost:0.00436
Iteration:35     	Cost:0.00373
Iteration:36     	Cost:0.00302
Iteration:37     	Cost:0.00343
Iteration:38     	Cost:0.00430
Iteration:39     	Cost:0.00518
Iteration:40     	Cost:0.00738
Iteration:41     	Cost:0.00391
Iteration:42     	Cost:0.00590
Iteration:43     	Cost:0.00568
Iteration:44     	Cost:0.00422
Iteration:45     	Cost:0.00352
Iteration:46     	Cost:0.00503
Iteration:47     	Cost:0.00378
Iteration:48     	Cost:0.00332
Iteration:49     	Cost:0.00440
Iteration:50     	Cost:0.00577
Iteration:51     	Cost:0.00338
Iteration:52     	Cost:0.01008
Iteration:53     	Cost:0.00443
Iteration:54     	Cost:0.00527
Iteration:55     	Cost:0.00543
Iteration:56     	Cost:0.00430
Iteration:57     	Cost:0.00492
Iteration:58     	Cost:0.00789
Iteration:59     	Cost:0.00405
Iteration:60     	Cost:0.00332
Iteration:61     	Cost:0.00411
Iteration:62     	Cost:0.00419
Iteration:63     	Cost:0.00624
Iteration:64     	Cost:0.00301
Iteration:65     	Cost:0.00429
Iteration:66     	Cost:0.00281
Iteration:67     	Cost:0.00369
Iteration:68     	Cost:0.00340
Iteration:69     	Cost:0.00437
Iteration:70     	Cost:0.00336
Iteration:71     	Cost:0.00465
Iteration:72     	Cost:0.00492
Iteration:73     	Cost:0.00268
Iteration:74     	Cost:0.00558
Iteration:75     	Cost:0.00507
Iteration:76     	Cost:0.00301
Iteration:77     	Cost:0.00597
Iteration:78     	Cost:0.00598
Iteration:79     	Cost:0.00554
Iteration:80     	Cost:0.00493
Iteration:81     	Cost:0.00556
Iteration:82     	Cost:0.00629
Iteration:83     	Cost:0.00548
Iteration:84     	Cost:0.00520
Iteration:85     	Cost:0.00818
Iteration:86     	Cost:0.00558
Iteration:87     	Cost:0.00493
Iteration:88     	Cost:0.00390
Iteration:89     	Cost:0.00487
Iteration:90     	Cost:0.00407
Iteration:91     	Cost:0.00444
Iteration:92     	Cost:0.00400
Iteration:93     	Cost:0.00382
epoch:1Iteration:0      	Cost:0.00417
Iteration:1      	Cost:0.00416
Iteration:2      	Cost:0.00355
Iteration:3      	Cost:0.00397
Iteration:4      	Cost:0.00543
Iteration:5      	Cost:0.00337
