epoch:0Iteration:0      	Cost:0.27278
Iteration:1      	Cost:0.24661
Iteration:2      	Cost:0.21498
Iteration:3      	Cost:0.21075
Iteration:4      	Cost:0.19822
Iteration:5      	Cost:0.19644
Iteration:6      	Cost:0.16611
Iteration:7      	Cost:0.16788
Iteration:8      	Cost:0.20547
Iteration:9      	Cost:0.21411
Iteration:10     	Cost:0.16057
Iteration:11     	Cost:0.21767
Iteration:12     	Cost:0.17505
Iteration:13     	Cost:0.19063
Iteration:14     	Cost:0.17353
Iteration:15     	Cost:0.16175
Iteration:16     	Cost:0.15751
Iteration:17     	Cost:0.16066
Iteration:18     	Cost:0.20032
Iteration:19     	Cost:0.20825
Iteration:20     	Cost:0.23645
Iteration:21     	Cost:0.20764
Iteration:22     	Cost:0.21983
Iteration:23     	Cost:0.23020
Iteration:24     	Cost:0.20428
Iteration:25     	Cost:0.17004
Iteration:26     	Cost:0.20480
Iteration:27     	Cost:0.18769
Iteration:28     	Cost:0.21634
Iteration:29     	Cost:0.19816
Iteration:30     	Cost:0.15533
Iteration:31     	Cost:0.18081
Iteration:32     	Cost:0.16028
Iteration:33     	Cost:0.18920
Iteration:34     	Cost:0.18088
Iteration:35     	Cost:0.16664
Iteration:36     	Cost:0.20384
Iteration:37     	Cost:0.16378
Iteration:38     	Cost:0.14140
Iteration:39     	Cost:0.16598
Iteration:40     	Cost:0.19499
Iteration:41     	Cost:0.15073
Iteration:42     	Cost:0.19321
Iteration:43     	Cost:0.15544
Iteration:44     	Cost:0.16820
Iteration:45     	Cost:0.17024
Iteration:46     	Cost:0.18659
Iteration:47     	Cost:0.20929
Iteration:48     	Cost:0.14229
Iteration:49     	Cost:0.19130
Iteration:50     	Cost:0.16693
Iteration:51     	Cost:0.16425
Iteration:52     	Cost:0.15271
Iteration:53     	Cost:0.14764
Iteration:54     	Cost:0.20205
Iteration:55     	Cost:0.15869
Iteration:56     	Cost:0.18786
Iteration:57     	Cost:0.18494
Iteration:58     	Cost:0.18932
Iteration:59     	Cost:0.18950
Iteration:60     	Cost:0.15167
Iteration:61     	Cost:0.16825
Iteration:62     	Cost:0.18426
Iteration:63     	Cost:0.21326
Iteration:64     	Cost:0.19785
Iteration:65     	Cost:0.20291
Iteration:66     	Cost:0.14938
Iteration:67     	Cost:0.18790
Iteration:68     	Cost:0.25426
Iteration:69     	Cost:0.21677
Iteration:70     	Cost:0.18736
Iteration:71     	Cost:0.17866
Iteration:72     	Cost:0.20154
Iteration:73     	Cost:0.15821
Iteration:74     	Cost:0.18339
Iteration:75     	Cost:0.21049
Iteration:76     	Cost:0.21841
Iteration:77     	Cost:0.13987
Iteration:78     	Cost:0.16915
Iteration:79     	Cost:0.15602
Iteration:80     	Cost:0.17699
Iteration:81     	Cost:0.19328
Iteration:82     	Cost:0.17011
Iteration:83     	Cost:0.24396
Iteration:84     	Cost:0.17045
Iteration:85     	Cost:0.16506
Iteration:86     	Cost:0.16157
Iteration:87     	Cost:0.16308
Iteration:88     	Cost:0.21248
Iteration:89     	Cost:0.18440
Iteration:90     	Cost:0.15586
Iteration:91     	Cost:0.20157
Iteration:92     	Cost:0.17392
Iteration:93     	Cost:0.21020
Iteration:94     	Cost:0.22074
Iteration:95     	Cost:0.18108
Iteration:96     	Cost:0.21412
Iteration:97     	Cost:0.17332
Iteration:98     	Cost:0.18453
Iteration:99     	Cost:0.18639
Iteration:100    	Cost:0.17470
Iteration:101    	Cost:0.18870
Iteration:102    	Cost:0.15758
Iteration:103    	Cost:0.19526
Iteration:104    	Cost:0.17142
Iteration:105    	Cost:0.18532
Iteration:106    	Cost:0.14788
Iteration:107    	Cost:0.16147
Iteration:108    	Cost:0.18962
Iteration:109    	Cost:0.15475
Iteration:110    	Cost:0.18372
Iteration:111    	Cost:0.18803
Iteration:112    	Cost:0.19067
epoch:1Iteration:0      	Cost:0.23635
Iteration:1      	Cost:0.19644
Iteration:2      	Cost:0.16260
Iteration:3      	Cost:0.20738
Iteration:4      	Cost:0.17895
Iteration:5      	Cost:0.19528
Iteration:6      	Cost:0.15175
Iteration:7      	Cost:0.15608
Iteration:8      	Cost:0.20112
Iteration:9      	Cost:0.21223
Iteration:10     	Cost:0.16009
Iteration:11     	Cost:0.21115
Iteration:12     	Cost:0.16934
Iteration:13     	Cost:0.18705
Iteration:14     	Cost:0.17091
Iteration:15     	Cost:0.15861
Iteration:16     	Cost:0.15323
Iteration:17     	Cost:0.15357
Iteration:18     	Cost:0.19373
Iteration:19     	Cost:0.19879
Iteration:20     	Cost:0.22594
Iteration:21     	Cost:0.20162
Iteration:22     	Cost:0.21109
Iteration:23     	Cost:0.22142
Iteration:24     	Cost:0.19443
Iteration:25     	Cost:0.16254
Iteration:26     	Cost:0.19333
Iteration:27     	Cost:0.18726
Iteration:28     	Cost:0.21477
Iteration:29     	Cost:0.18935
Iteration:30     	Cost:0.14844
Iteration:31     	Cost:0.17068
Iteration:32     	Cost:0.15130
Iteration:33     	Cost:0.18212
Iteration:34     	Cost:0.17286
Iteration:35     	Cost:0.16512
Iteration:36     	Cost:0.19250
Iteration:37     	Cost:0.16213
Iteration:38     	Cost:0.13485
Iteration:39     	Cost:0.15695
Iteration:40     	Cost:0.18906
Iteration:41     	Cost:0.13439
Iteration:42     	Cost:0.18897
Iteration:43     	Cost:0.15530
Iteration:44     	Cost:0.15939
Iteration:45     	Cost:0.18064
Iteration:46     	Cost:0.18027
Iteration:47     	Cost:0.19795
Iteration:48     	Cost:0.13190
Iteration:49     	Cost:0.18409
Iteration:50     	Cost:0.16863
Iteration:51     	Cost:0.16983
Iteration:52     	Cost:0.14933
Iteration:53     	Cost:0.13480
Iteration:54     	Cost:0.19504
Iteration:55     	Cost:0.15886
Iteration:56     	Cost:0.17948
Iteration:57     	Cost:0.18039
Iteration:58     	Cost:0.17994
Iteration:59     	Cost:0.18234
Iteration:60     	Cost:0.13651
Iteration:61     	Cost:0.16465
Iteration:62     	Cost:0.17962
Iteration:63     	Cost:0.21441
Iteration:64     	Cost:0.19502
Iteration:65     	Cost:0.18619
Iteration:66     	Cost:0.13827
Iteration:67     	Cost:0.18103
Iteration:68     	Cost:0.24493
Iteration:69     	Cost:0.20614
Iteration:70     	Cost:0.18334
Iteration:71     	Cost:0.17328
Iteration:72     	Cost:0.19051
Iteration:73     	Cost:0.15000
Iteration:74     	Cost:0.15896
Iteration:75     	Cost:0.21086
Iteration:76     	Cost:0.20406
Iteration:77     	Cost:0.13870
Iteration:78     	Cost:0.16199
Iteration:79     	Cost:0.14689
Iteration:80     	Cost:0.17015
Iteration:81     	Cost:0.18162
Iteration:82     	Cost:0.15565
Iteration:83     	Cost:0.24034
Iteration:84     	Cost:0.15500
Iteration:85     	Cost:0.15586
Iteration:86     	Cost:0.15382
Iteration:87     	Cost:0.15016
Iteration:88     	Cost:0.19950
Iteration:89     	Cost:0.17727
Iteration:90     	Cost:0.14515
Iteration:91     	Cost:0.18514
Iteration:92     	Cost:0.16181
Iteration:93     	Cost:0.19505
Iteration:94     	Cost:0.21965
Iteration:95     	Cost:0.16231
Iteration:96     	Cost:0.20355
Iteration:97     	Cost:0.15977
Iteration:98     	Cost:0.16857
Iteration:99     	Cost:0.18070
Iteration:100    	Cost:0.17419
Iteration:101    	Cost:0.18295
Iteration:102    	Cost:0.13715
Iteration:103    	Cost:0.17618
Iteration:104    	Cost:0.15736
Iteration:105    	Cost:0.18785
Iteration:106    	Cost:0.12850
Iteration:107    	Cost:0.15167
Iteration:108    	Cost:0.19740
Iteration:109    	Cost:0.14023
Iteration:110    	Cost:0.17980
Iteration:111    	Cost:0.17548
Iteration:112    	Cost:0.17829
epoch:2Iteration:0      	Cost:0.22786
Iteration:1      	Cost:0.18806
Iteration:2      	Cost:0.15225
Iteration:3      	Cost:0.19378
Iteration:4      	Cost:0.17011
Iteration:5      	Cost:0.18136
Iteration:6      	Cost:0.15311
Iteration:7      	Cost:0.14224
Iteration:8      	Cost:0.18774
Iteration:9      	Cost:0.20159
Iteration:10     	Cost:0.15088
Iteration:11     	Cost:0.19601
Iteration:12     	Cost:0.15648
Iteration:13     	Cost:0.18114
Iteration:14     	Cost:0.16524
Iteration:15     	Cost:0.14480
Iteration:16     	Cost:0.13816
Iteration:17     	Cost:0.13559
Iteration:18     	Cost:0.18387
Iteration:19     	Cost:0.18729
Iteration:20     	Cost:0.22073
Iteration:21     	Cost:0.19627
Iteration:22     	Cost:0.19674
Iteration:23     	Cost:0.20339
Iteration:24     	Cost:0.17923
Iteration:25     	Cost:0.15726
Iteration:26     	Cost:0.17386
Iteration:27     	Cost:0.18400
Iteration:28     	Cost:0.19597
Iteration:29     	Cost:0.17784
Iteration:30     	Cost:0.13359
Iteration:31     	Cost:0.14882
Iteration:32     	Cost:0.12555
Iteration:33     	Cost:0.17215
Iteration:34     	Cost:0.15803
Iteration:35     	Cost:0.15973
Iteration:36     	Cost:0.17962
Iteration:37     	Cost:0.15336
Iteration:38     	Cost:0.12026
Iteration:39     	Cost:0.13749
Iteration:40     	Cost:0.16998
Iteration:41     	Cost:0.11474
Iteration:42     	Cost:0.19184
Iteration:43     	Cost:0.14731
Iteration:44     	Cost:0.13821
Iteration:45     	Cost:0.16569
Iteration:46     	Cost:0.16530
Iteration:47     	Cost:0.18005
Iteration:48     	Cost:0.11524
Iteration:49     	Cost:0.16129
Iteration:50     	Cost:0.15789
Iteration:51     	Cost:0.15582
Iteration:52     	Cost:0.12349
Iteration:53     	Cost:0.12235
Iteration:54     	Cost:0.17329
Iteration:55     	Cost:0.15754
Iteration:56     	Cost:0.16712
Iteration:57     	Cost:0.16597
Iteration:58     	Cost:0.16910
Iteration:59     	Cost:0.16547
Iteration:60     	Cost:0.11454
Iteration:61     	Cost:0.15947
Iteration:62     	Cost:0.16672
Iteration:63     	Cost:0.21302
Iteration:64     	Cost:0.16943
Iteration:65     	Cost:0.15975
Iteration:66     	Cost:0.12843
Iteration:67     	Cost:0.17304
Iteration:68     	Cost:0.22197
Iteration:69     	Cost:0.19019
Iteration:70     	Cost:0.18622
Iteration:71     	Cost:0.17472
Iteration:72     	Cost:0.17370
Iteration:73     	Cost:0.13219
Iteration:74     	Cost:0.12950
Iteration:75     	Cost:0.22187
Iteration:76     	Cost:0.20819
Iteration:77     	Cost:0.13746
Iteration:78     	Cost:0.14811
Iteration:79     	Cost:0.14025
Iteration:80     	Cost:0.16088
Iteration:81     	Cost:0.16396
Iteration:82     	Cost:0.13845
Iteration:83     	Cost:0.22531
Iteration:84     	Cost:0.13119
Iteration:85     	Cost:0.14137
Iteration:86     	Cost:0.13461
Iteration:87     	Cost:0.13451
Iteration:88     	Cost:0.18060
Iteration:89     	Cost:0.16312
Iteration:90     	Cost:0.12006
Iteration:91     	Cost:0.15695
Iteration:92     	Cost:0.14336
Iteration:93     	Cost:0.17003
Iteration:94     	Cost:0.20803
Iteration:95     	Cost:0.15101
Iteration:96     	Cost:0.18156
Iteration:97     	Cost:0.14842
Iteration:98     	Cost:0.15011
Iteration:99     	Cost:0.16617
Iteration:100    	Cost:0.14914
Iteration:101    	Cost:0.17213
Iteration:102    	Cost:0.12595
Iteration:103    	Cost:0.16747
Iteration:104    	Cost:0.14478
Iteration:105    	Cost:0.17478
Iteration:106    	Cost:0.10406
Iteration:107    	Cost:0.15326
Iteration:108    	Cost:0.18523
Iteration:109    	Cost:0.13234
Iteration:110    	Cost:0.15691
Iteration:111    	Cost:0.15318
Iteration:112    	Cost:0.16423
epoch:3Iteration:0      	Cost:0.19279
Iteration:1      	Cost:0.15799
Iteration:2      	Cost:0.13643
Iteration:3      	Cost:0.16527
Iteration:4      	Cost:0.15016
Iteration:5      	Cost:0.15742
Iteration:6      	Cost:0.13196
Iteration:7      	Cost:0.10769
Iteration:8      	Cost:0.17175
Iteration:9      	Cost:0.18146
Iteration:10     	Cost:0.13290
Iteration:11     	Cost:0.17883
Iteration:12     	Cost:0.13729
Iteration:13     	Cost:0.14971
Iteration:14     	Cost:0.15257
Iteration:15     	Cost:0.11527
Iteration:16     	Cost:0.11500
Iteration:17     	Cost:0.11600
Iteration:18     	Cost:0.15273
Iteration:19     	Cost:0.16900
Iteration:20     	Cost:0.17644
Iteration:21     	Cost:0.16336
Iteration:22     	Cost:0.15829
Iteration:23     	Cost:0.18017
Iteration:24     	Cost:0.15716
Iteration:25     	Cost:0.13626
Iteration:26     	Cost:0.16412
Iteration:27     	Cost:0.16741
Iteration:28     	Cost:0.19396
Iteration:29     	Cost:0.16451
Iteration:30     	Cost:0.12301
Iteration:31     	Cost:0.12710
Iteration:32     	Cost:0.11508
Iteration:33     	Cost:0.16040
Iteration:34     	Cost:0.12954
Iteration:35     	Cost:0.13854
Iteration:36     	Cost:0.15805
Iteration:37     	Cost:0.14615
Iteration:38     	Cost:0.10090
Iteration:39     	Cost:0.11279
Iteration:40     	Cost:0.15220
Iteration:41     	Cost:0.09138
Iteration:42     	Cost:0.18362
Iteration:43     	Cost:0.13650
Iteration:44     	Cost:0.10922
Iteration:45     	Cost:0.15481
Iteration:46     	Cost:0.14592
Iteration:47     	Cost:0.14623
Iteration:48     	Cost:0.09784
Iteration:49     	Cost:0.13939
Iteration:50     	Cost:0.13550
Iteration:51     	Cost:0.13444
Iteration:52     	Cost:0.11129
Iteration:53     	Cost:0.12361
Iteration:54     	Cost:0.13078
Iteration:55     	Cost:0.13126
Iteration:56     	Cost:0.14531
Iteration:57     	Cost:0.14200
Iteration:58     	Cost:0.14420
Iteration:59     	Cost:0.15213
Iteration:60     	Cost:0.10220
Iteration:61     	Cost:0.15272
Iteration:62     	Cost:0.15272
Iteration:63     	Cost:0.17851
Iteration:64     	Cost:0.13203
Iteration:65     	Cost:0.12405
Iteration:66     	Cost:0.11465
Iteration:67     	Cost:0.15615
Iteration:68     	Cost:0.16986
Iteration:69     	Cost:0.14876
Iteration:70     	Cost:0.16917
Iteration:71     	Cost:0.13860
Iteration:72     	Cost:0.16503
Iteration:73     	Cost:0.08979
Iteration:74     	Cost:0.11600
Iteration:75     	Cost:0.20317
Iteration:76     	Cost:0.15388
Iteration:77     	Cost:0.13493
Iteration:78     	Cost:0.13674
Iteration:79     	Cost:0.14869
Iteration:80     	Cost:0.16267
Iteration:81     	Cost:0.14658
Iteration:82     	Cost:0.12476
Iteration:83     	Cost:0.22097
Iteration:84     	Cost:0.11750
Iteration:85     	Cost:0.12016
Iteration:86     	Cost:0.10980
Iteration:87     	Cost:0.10615
Iteration:88     	Cost:0.14333
Iteration:89     	Cost:0.15514
Iteration:90     	Cost:0.11377
Iteration:91     	Cost:0.13179
Iteration:92     	Cost:0.12555
Iteration:93     	Cost:0.13683
Iteration:94     	Cost:0.17110
Iteration:95     	Cost:0.12997
Iteration:96     	Cost:0.16368
Iteration:97     	Cost:0.13225
Iteration:98     	Cost:0.12094
Iteration:99     	Cost:0.14390
Iteration:100    	Cost:0.11515
Iteration:101    	Cost:0.15433
Iteration:102    	Cost:0.08855
Iteration:103    	Cost:0.13300
Iteration:104    	Cost:0.11455
Iteration:105    	Cost:0.15580
Iteration:106    	Cost:0.08782
Iteration:107    	Cost:0.13856
Iteration:108    	Cost:0.15021
Iteration:109    	Cost:0.10640
Iteration:110    	Cost:0.12992
Iteration:111    	Cost:0.12816
Iteration:112    	Cost:0.14431
epoch:4Iteration:0      	Cost:0.14374
Iteration:1      	Cost:0.13865
Iteration:2      	Cost:0.14543
Iteration:3      	Cost:0.13880
Iteration:4      	Cost:0.13138
Iteration:5      	Cost:0.12263
Iteration:6      	Cost:0.10360
Iteration:7      	Cost:0.08618
Iteration:8      	Cost:0.14914
Iteration:9      	Cost:0.16142
Iteration:10     	Cost:0.11291
Iteration:11     	Cost:0.15686
Iteration:12     	Cost:0.14159
Iteration:13     	Cost:0.13297
Iteration:14     	Cost:0.14667
Iteration:15     	Cost:0.10458
